,日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
0,2021年12月01日,晴  /晴,4℃  /  14℃,东北风 3-4级  /东北风 3-4级
1,2021年12月02日,晴  /晴,5℃  /  15℃,西北风 1-2级  /西北风 1-2级
2,2021年12月03日,晴  /晴,6℃  /  18℃,东北风 1-2级  /东北风 1-2级
3,2021年12月04日,晴  /晴,7℃  /  18℃,东北风 1-2级  /东北风 1-2级
4,2021年12月05日,晴  /晴,6℃  /  19℃,东北风 1-2级  /东北风 1-2级
5,2021年12月06日,晴  /晴,8℃  /  20℃,东北风 1-2级  /东北风 1-2级
6,2021年12月07日,晴  /多云,9℃  /  19℃,北风 3-4级  /北风 3-4级
7,2021年12月08日,多云  /多云,10℃  /  18℃,东北风 3-4级  /东北风 3-4级
8,2021年12月09日,晴  /晴,9℃  /  20℃,东北风 1-2级  /东北风 1-2级
9,2021年12月10日,晴  /晴,10℃  /  20℃,东北风 1-2级  /东北风 1-2级
10,2021年12月11日,多云  /多云,11℃  /  21℃,东北风 3-4级  /东北风 3-4级
11,2021年12月12日,小雨  /多云,8℃  /  13℃,北风 3-4级  /北风 3-4级
12,2021年12月13日,多云  /阴,8℃  /  14℃,东北风 1-2级  /东北风 1-2级
13,2021年12月14日,小雨  /多云,9℃  /  14℃,东风 1-2级  /东风 1-2级
14,2021年12月15日,多云  /多云,10℃  /  19℃,东北风 1-2级  /东北风 1-2级
15,2021年12月16日,阴  /小雨,10℃  /  17℃,北风 3-4级  /北风 3-4级
16,2021年12月17日,多云  /晴,3℃  /  14℃,北风 4-5级  /北风 4-5级
17,2021年12月18日,晴  /晴,4℃  /  12℃,东北风 1-2级  /东北风 1-2级
18,2021年12月19日,晴  /晴,4℃  /  14℃,东风 1-2级  /东风 1-2级
19,2021年12月20日,晴  /晴,8℃  /  17℃,南风 1-2级  /南风 1-2级
20,2021年12月21日,晴  /晴,6℃  /  17℃,东南风 1-2级  /东南风 1-2级
21,2021年12月22日,晴  /晴,7℃  /  19℃,东北风 1-2级  /东北风 1-2级
22,2021年12月23日,晴  /晴,8℃  /  18℃,东风 1-2级  /东风 1-2级
23,2021年12月24日,阴  /小雨,4℃  /  16℃,北风 4-5级  /北风 4-5级
24,2021年12月25日,雨夹雪  /阴,1℃  /  5℃,北风 4-5级  /北风 4-5级
25,2021年12月26日,小雪  /小雪,0℃  /  3℃,北风 1-2级  /北风 1-2级
26,2021年12月27日,阴  /阴,2℃  /  6℃,东北风 1-2级  /东北风 1-2级
27,2021年12月28日,阴  /小雨,4℃  /  7℃,北风 1-2级  /北风 1-2级
28,2021年12月29日,多云  /晴,3℃  /  12℃,北风 1-2级  /北风 1-2级
29,2021年12月30日,晴  /晴,3℃  /  13℃,东北风 3-4级  /东北风 3-4级
30,2021年12月31日,晴  /多云,5℃  /  13℃,东北风 1-2级  /东北风 1-2级
